Statement, Link, Date, Source, Label
Former President Donald Trump issued a statement threatening to leak “interesting videos” of House Speaker Kevin McCarthy.,https://www.politifact.com/factchecks/2023/mar/21/viral-image/fake-statement-attributed-donald-trump-about-kevin/,arch 21^ 2023,Viral image,false
Joe Biden was the first president in 100 years to unsuccessfully sing the alphabet song.,https://www.politifact.com/factchecks/2023/mar/21/instagram-posts/now-you-know-abcs-test-for-presidents-isnt-real/,arch 21^ 2023,Instagram posts,pants-fire
Elon Musk tweeted he would “buy Joint Commission and let nurses have drinks at their station.”,https://www.politifact.com/factchecks/2023/mar/20/viral-image/elon-musk-didnt-tweet-this-about-the-joint-commiss/,arch 20^ 2023,Viral image,false
Photo shows Magic Johnson donating blood “to help underprivileged communities help fight COVID-19.”,https://www.politifact.com/factchecks/2023/mar/20/viral-image/photo-doesnt-show-magic-johnson-donating-blood/,arch 20^ 2023,Viral image,false
Former President Donald Trump tweeted^ “The storm is upon us.”,https://www.politifact.com/factchecks/2023/mar/20/viral-image/former-president-donald-trump-didnt-tweet-this-qan/,arch 20^ 2023,Viral image,false
Angelina Jolie is dead.,https://www.politifact.com/factchecks/2023/mar/20/blog-posting/angelina-jolie-alive-despite-social-media-posts-cl/,arch 20^ 2023,Bloggers,pants-fire
Says President Joe Biden was recorded talking about bank collapse.,https://www.politifact.com/factchecks/2023/mar/20/tiktok-posts/audio-clip-president-joe-biden-talking-about-bank/,arch 20^ 2023,TikTok posts,pants-fire
“BREAKING: ANTHONY FAUCI is set to be arrested!!!”,https://www.politifact.com/factchecks/2023/mar/20/instagram-posts/no-arrest-pending-dr-anthony-fauci-these-posts-are/,arch 20^ 2023,Instagram posts,pants-fire
Photo shows former President Donald Trump detained by police.,https://www.politifact.com/factchecks/2023/mar/20/tweets/these-are-not-real-photos-donald-trump-arrest/,arch 20^ 2023,Tweets,false
"Half the kids in this country^ when they graduate^ can’t read their diploma.”,https://www.politifact.com/factchecks/2023/mar/20/tommy-tuberville/can-half-us-high-school-graduates-not-read-their-d/,arch 20^ 2023,Tommy Tuberville,barely-true
"Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.",https://www.politifact.com/factchecks/2023/mar/20/greg-abbott/gov-greg-abbott-says-texas-no-1-state-business-it/,arch 20^ 2023,Greg Abbott,half-true
“USA gives final warning to Uganda to legalize homosexuality^” or no aid.,https://www.politifact.com/factchecks/2023/mar/17/facebook-posts/us-not-threatening-aid-uganda-over-new-anti-lgbtq/,arch 17^ 2023,Facebook posts,false
Under a GOP bill on cash bail^ "a large quantity of people who are accused of crimes^ including anyone who even witnesses certain crimes^ could now be detained and subject to bail.",https://www.politifact.com/factchecks/2023/mar/17/darrin-madison/madison-is-half-right-on-claim-about-gops-cash-bai/,arch 17^ 2023,Darrin Madison,half-true
"The First Amendment doesn’t allow you to willingly lie.",https://www.politifact.com/factchecks/2023/mar/17/whoopi-goldberg/whoopi-goldberg-gets-it-wrong-lying-and-first-amen/,arch 17^ 2023,Whoopi Goldberg,barely-true
Kari Lake called Trump the “fattest president since Taft” in a 2016 tweet.,https://www.politifact.com/factchecks/2023/mar/16/tweets/did-kari-lake-tweet-that-donald-trump-was-fat-in-2/,arch 16^ 2023,Tweets,false
"We’re just burning 300 gallons of jet fuel to de-ice this clean energy wind turbine … that needs 80 gallons of synthetic oil to operate.",https://www.politifact.com/factchecks/2023/mar/16/facebook-posts/meme-uses-faulty-math-claim-it-takes-300-gallons-j/,arch 16^ 2023,Facebook posts,false
Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.,https://www.politifact.com/factchecks/2023/mar/15/facebook-posts/monster-energy-logo-reference-to-antichrist/,arch 15^ 2023,Facebook posts,pants-fire
A $2 million grant for Georgia’s DeKalb County amounts to a “private takeover of election offices.”,https://www.politifact.com/factchecks/2023/mar/15/facebook-posts/grant-to-georgias-dekalb-county-doesnt-amount-to-a/,arch 15^ 2023,Facebook posts,false
On drilling on federal lands.,https://www.politifact.com/factchecks/2023/mar/15/joe-biden/president-joe-biden-flip-flopped-allowing-new-oil/,arch 15^ 2023,Joe Biden,full-flop
“More cops are killed responding to domestic violence calls than anything else.”,https://www.politifact.com/factchecks/2023/mar/15/joe-biden/joe-biden-says-domestic-violence-calls-prompt-most/,arch 15^ 2023,Joe Biden,false
“Elon Musk bans Greta Thunberg from Twitter.”,https://www.politifact.com/factchecks/2023/mar/15/blog-posting/elon-musk-didnt-ban-greta-thunberg-from-twitter/,arch 15^ 2023,Bloggers,false
Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”,https://www.politifact.com/factchecks/2023/mar/15/walgreens/walgreens-claimed-that-it-always-planned-to-sell-a/,arch 15^ 2023,Walgreens,mostly-true
"Ron DeSantis wants to raise the retirement age to 70.",https://www.politifact.com/factchecks/2023/mar/15/desantis-watch/rep-ron-desantis-backed-raising-social-security-an/,arch 15^ 2023,DeSantis Watch,barely-true
“Russian dementia care facilities are using Biden on their poster.”,https://www.politifact.com/factchecks/2023/mar/15/viral-image/russian-posters-showing-biden-direct-people-to-us/,arch 15^ 2023,Viral image,false
“Clinton ally mysteriously dies.”,https://www.politifact.com/factchecks/2023/mar/15/facebook-posts/no-mystery-former-clinton-white-house-official-die/,arch 15^ 2023,Facebook posts,false
Photos of the Statue of Liberty taken in 1920 and 2020 show that the sea level hasn’t changed.,https://www.politifact.com/factchecks/2023/mar/14/instagram-posts/statue-of-liberty-photos-dont-tell-the-story-of-ri/,arch 14^ 2023,Instagram posts,false
Video shows U.S. Secret Service agents are demons.,https://www.politifact.com/factchecks/2023/mar/14/viral-image/ditch-those-crucifixes-video-doesnt-prove-secret-s/,arch 14^ 2023,Viral image,pants-fire
“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,https://www.politifact.com/factchecks/2023/mar/14/viral-image/social-media-post-announcing-who-arrests-pandemic/,arch 14^ 2023,Viral image,pants-fire
“The left is determined to erase Mount Rushmore from our history books.”,https://www.politifact.com/factchecks/2023/mar/14/north-carolina-republican-party/nc-gop-email-falsely-claims-left-wants-erase-mt-ru/,arch 14^ 2023,North Carolina Republican Party,false
Audio captures former Presidents Donald Trump and Barack Obama debating Michelle Obama’s gender.,https://www.politifact.com/factchecks/2023/mar/14/viral-image/you-didnt-hear-that-accurately-audio-of-discussion/,arch 14^ 2023,Viral image,false
Statement, Link, Date, Source, Label
"Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.",https://www.politifact.com/factchecks/2023/mar/14/joan-ballweg/has-wisconsin-really-seen-63-billion-covid-relief/,arch 14^ 2023,Joan Ballweg,mostly-true
Elon Musk tweeted^ “The world is flat.”,https://www.politifact.com/factchecks/2023/mar/13/viral-image/earth-is-round-and-elon-musk-didnt-say-it-was-flat/,arch 13^ 2023,Viral image,false
“The Simpsons” predicted money missing from Bank of America customers’ accounts in January.,https://www.politifact.com/factchecks/2023/mar/13/viral-image/bank-run-in-simpsons-episode-didnt-foretell-bank-o/,arch 13^ 2023,Viral image,false
“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”,https://www.politifact.com/factchecks/2023/mar/13/facebook-posts/prince-harry-wasnt-deported-from-the-united-states/,arch 13^ 2023,Facebook posts,pants-fire
“‘The View’ settles with the Rittenhouses for $22 million and a formal apology.”,https://www.politifact.com/factchecks/2023/mar/13/blog-posting/post-about-the-view-and-kyle-rittenhouse-is-satire/,arch 13^ 2023,Bloggers,false
Democrats "want to ban gas powered cars and gas stoves.”,https://www.politifact.com/factchecks/2023/mar/13/nikki-haley/nikki-haley-overreaches-attack-democrats-over-gaso/,arch 13^ 2023,Nikki Haley,half-true
The 2017 Unite the Right rally in Charlottesville^ Virginia^ was “an American intel op against Trump.”,https://www.politifact.com/factchecks/2023/mar/10/scott-adams/unite-the-right-rally-was-real-not-a-staged-intel/,arch 10^ 2023,Scott Adams,pants-fire
Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,https://www.politifact.com/factchecks/2023/mar/10/facebook-posts/yes-beverages-can-foil-home-covid-19-tests-doesnt/,arch 10^ 2023,Facebook posts,false
Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,https://www.politifact.com/factchecks/2023/mar/10/erin-pare/wakes-county-commissioner-races-stand-out-in-north/,arch 10^ 2023,Erin Paré,mostly-true
The White House Visitor Center is displaying a photo of a fake President Joe Biden.,https://www.politifact.com/factchecks/2023/mar/09/facebook-posts/white-house-visitors-center-photo-looks-joe-biden/,March 9^ 2023,Facebook posts,pants-fire
